V1	V2	V3	V4	V5	V6
ENSG00000087008	ENSG00000133835	ENSG00000161281	ENSG00000161533		
ENSG00000087008	ENSG00000133835	ENSG00000135940	ENSG00000161533		
ENSG00000087008	ENSG00000156467	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000161533	ENSG00000168306	ENSG00000198712		
ENSG00000087008	ENSG00000111775	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000131055	ENSG00000133835	ENSG00000161533		
ENSG00000087008	ENSG00000135940	ENSG00000161533	ENSG00000168306		
ENSG00000010256	ENSG00000087008	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000131174	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000161533	ENSG00000168306	ENSG00000173660		
ENSG00000087008	ENSG00000161281	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000133835	ENSG00000160471	ENSG00000161533		
ENSG00000087008	ENSG00000161533	ENSG00000168306	ENSG00000176340		
ENSG00000135069	ENSG00000138030	ENSG00000145020	ENSG00000153574		
ENSG00000091483	ENSG00000135069	ENSG00000138030	ENSG00000153574		
ENSG00000091140	ENSG00000135069	ENSG00000138030	ENSG00000153574		
ENSG00000091140	ENSG00000119711	ENSG00000135069	ENSG00000153574		
ENSG00000113492	ENSG00000135069	ENSG00000153574	ENSG00000172482		
ENSG00000116761	ENSG00000148672	ENSG00000149089	ENSG00000182890		
ENSG00000099810	ENSG00000116761	ENSG00000148672	ENSG00000182890		
ENSG00000037757	ENSG00000116761	ENSG00000148672	ENSG00000182890		
ENSG00000087008	ENSG00000161533	ENSG00000164919	ENSG00000168306		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000164919		
ENSG00000048392	ENSG00000093217	ENSG00000112759	ENSG00000153574		
ENSG00000048392	ENSG00000093217	ENSG00000153574	ENSG00000167900		
ENSG00000093217	ENSG00000112759	ENSG00000153574	ENSG00000171848		
ENSG00000093217	ENSG00000112759	ENSG00000153574	ENSG00000196839		
ENSG00000048392	ENSG00000093217	ENSG00000125454	ENSG00000153574		
ENSG00000093217	ENSG00000125454	ENSG00000153574	ENSG00000171848		
ENSG00000062485	ENSG00000135069	ENSG00000138030	ENSG00000153574		
ENSG00000048392	ENSG00000093217	ENSG00000134326	ENSG00000153574		
ENSG00000093217	ENSG00000153574	ENSG00000172296	ENSG00000241878		
ENSG00000037757	ENSG00000148672	ENSG00000182890	ENSG00000198610		
ENSG00000134326	ENSG00000138030	ENSG00000153574	ENSG00000167325		
ENSG00000093217	ENSG00000153574	ENSG00000167325	ENSG00000167900		
ENSG00000023697	ENSG00000100116	ENSG00000153574	ENSG00000178445		
ENSG00000093217	ENSG00000112759	ENSG00000153574	ENSG00000167325		
ENSG00000023697	ENSG00000091140	ENSG00000131471	ENSG00000153574		
ENSG00000023697	ENSG00000100116	ENSG00000145020	ENSG00000153574		
ENSG00000148672	ENSG00000182890	ENSG00000183044	ENSG00000261052		
ENSG00000093217	ENSG00000119537	ENSG00000153574	ENSG00000241878		
ENSG00000117118	ENSG00000135069	ENSG00000138030	ENSG00000153574		
ENSG00000088826	ENSG00000116761	ENSG00000148672	ENSG00000182890		
ENSG00000116761	ENSG00000123505	ENSG00000148672	ENSG00000182890		
ENSG00000119711	ENSG00000148672	ENSG00000182890	ENSG00000261052		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000178741		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000169021		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000164405		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000198938		
ENSG00000093217	ENSG00000134326	ENSG00000153574	ENSG00000171848		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000198712		
ENSG00000062485	ENSG00000113790	ENSG00000125166	ENSG00000146701		
ENSG00000062485	ENSG00000125166	ENSG00000143252	ENSG00000146701		
ENSG00000162365	ENSG00000173599	ENSG00000186115	ENSG00000187048		
ENSG00000087008	ENSG00000112695	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000161533	ENSG00000168306	ENSG00000170516		
ENSG00000087008	ENSG00000140740	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000156885	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000161533	ENSG00000168306	ENSG00000178741		
ENSG00000087008	ENSG00000127184	ENSG00000161533	ENSG00000168306		
ENSG00000087008	ENSG00000127184	ENSG00000133835	ENSG00000161533		
ENSG00000087008	ENSG00000126267	ENSG00000133835	ENSG00000161533		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000179091		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000198804		
ENSG00000087008	ENSG00000133835	ENSG00000156467	ENSG00000161533		
ENSG00000087008	ENSG00000112695	ENSG00000133835	ENSG00000161533		
ENSG00000087008	ENSG00000131174	ENSG00000133835	ENSG00000161533		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000187581		
ENSG00000087008	ENSG00000133835	ENSG00000140740	ENSG00000161533		
ENSG00000087008	ENSG00000133835	ENSG00000161533	ENSG00000198727		
